,county_fip,ZIP
348,34019,8559
349,34019,8560
350,34019,8801
351,34019,8802
352,34019,8803
353,34019,8804
354,34019,8809
355,34019,8822
356,34019,8825
357,34019,8826
358,34019,8827
359,34019,8829
360,34019,8833
361,34019,8844
362,34019,8848
363,34019,8853
364,34019,8858
365,34019,8867
366,34019,8868
367,34019,8870
368,34019,8876
369,34019,8885
370,34019,8887
371,34019,8888
372,34019,8889
373,34021,8501
374,34021,8512
375,34021,8520
376,34021,8525
377,34021,8530
378,34021,8534
379,34021,8540
380,34021,8542
381,34021,8543
382,34021,8544
383,34021,8550
384,34021,8558
385,34021,8560
386,34021,8561
387,34021,8601
388,34021,8602
389,34021,8603
390,34021,8604
391,34021,8605
392,34021,8606
393,34021,8607
394,34021,8608
395,34021,8609
396,34021,8610
397,34021,8611
398,34021,8618
399,34021,8619
400,34021,8620
401,34021,8628
402,34021,8629
403,34021,8638
404,34021,8648
405,34021,8650
406,34021,8690
407,34021,8691
408,34023,7001
409,34023,7008
410,34023,7064
411,34023,7065
412,34023,7067
413,34023,7076
414,34023,7077
415,34023,7080
416,34023,7095
417,34023,7721
418,34023,7726
419,34023,7735
420,34023,7747
421,34023,7751
422,34023,8512
423,34023,8520
424,34023,8528
425,34023,8536
426,34023,8540
427,34023,8805
428,34023,8810
429,34023,8812
430,34023,8816
431,34023,8817
432,34023,8818
433,34023,8820
434,34023,8823
435,34023,8824
436,34023,8828
437,34023,8830
438,34023,8831
439,34023,8832
440,34023,8837
441,34023,8840
442,34023,8846
443,34023,8850
444,34023,8852
445,34023,8854
446,34023,8855
447,34023,8857
448,34023,8859
449,34023,8861
450,34023,8862
451,34023,8863
452,34023,8872
453,34023,8879
454,34023,8882
455,34023,8884
456,34023,8899
457,34023,8901
458,34023,8902
459,34023,8903
460,34023,8904
461,34023,8906
462,34023,8933
463,34025,7701
464,34025,7702
465,34025,7704
466,34025,7710
467,34025,7711
468,34025,7712
469,34025,7716
470,34025,7717
471,34025,7718
472,34025,7719
473,34025,7720
474,34025,7721
475,34025,7722
476,34025,7723
477,34025,7724
478,34025,7726
479,34025,7727
480,34025,7728
481,34025,7730
482,34025,7731
483,34025,7732
484,34025,7733
485,34025,7734
486,34025,7735
487,34025,7737
488,34025,7738
489,34025,7739
490,34025,7740
491,34025,7746
492,34025,7747
493,34025,7748
494,34025,7750
495,34025,7751
496,34025,7752
497,34025,7753
498,34025,7754
499,34025,7755
500,34025,7756
501,34025,7757
502,34025,7758
503,34025,7760
504,34025,7762
505,34025,7763
506,34025,7764
507,34025,7765
508,34025,7799
509,34025,8501
510,34025,8510
511,34025,8514
512,34025,8520
513,34025,8527
514,34025,8535
515,34025,8555
516,34025,8562
517,34025,8620
518,34025,8691
519,34025,8720
520,34025,8724
521,34025,8730
522,34025,8736
523,34025,8750
524,34027,7005
525,34027,7034
526,34027,7035
527,34027,7045
528,34027,7046
529,34027,7054
530,34027,7058
531,34027,7082
532,34027,7403
533,34027,7405
534,34027,7435
535,34027,7438
536,34027,7440
537,34027,7444
538,34027,7457
539,34027,7460
540,34027,7801
541,34027,7802
542,34027,7803
543,34027,7806
544,34027,7828
545,34027,7830
546,34027,7834
547,34027,7836
548,34027,7840
549,34027,7842
550,34027,7845
551,34027,7847
552,34027,7849
553,34027,7850
554,34027,7852
555,34027,7853
556,34027,7856
557,34027,7857
558,34027,7865
559,34027,7866
560,34027,7869
561,34027,7870
562,34027,7876
563,34027,7878
564,34027,7885
565,34027,7920
566,34027,7924
567,34027,7926
568,34027,7927
569,34027,7928
570,34027,7930
571,34027,7931
572,34027,7932
573,34027,7933
574,34027,7934
575,34027,7935
576,34027,7936
577,34027,7940
578,34027,7945
579,34027,7946
580,34027,7950
581,34027,7960
582,34027,7961
583,34027,7962
584,34027,7963
585,34027,7970
586,34027,7976
587,34027,7980
588,34027,7981
589,34029,7728
590,34029,7731
591,34029,8005
592,34029,8006
593,34029,8008
594,34029,8050
595,34029,8087
596,34029,8092
597,34029,8514
598,34029,8527
599,34029,8533
600,34029,8701
601,34029,8721
602,34029,8722
603,34029,8723
604,34029,8724
605,34029,8731
606,34029,8732
607,34029,8733
608,34029,8734
609,34029,8735
610,34029,8738
611,34029,8739
612,34029,8740
613,34029,8741
614,34029,8742
615,34029,8751
616,34029,8752
617,34029,8753
618,34029,8754
619,34029,8755
620,34029,8757
621,34029,8758
622,34029,8759
623,34031,7006
624,34031,7011
625,34031,7012
626,34031,7013
627,34031,7014
628,34031,7015
629,34031,7043
630,34031,7055
631,34031,7110
632,34031,7403
633,34031,7420
634,34031,7421
635,34031,7424
636,34031,7435
637,34031,7438
638,34031,7442
639,34031,7456
640,34031,7460
641,34031,7465
642,34031,7470
643,34031,7474
644,34031,7480
645,34031,7501
646,34031,7502
647,34031,7503
648,34031,7504
649,34031,7505
650,34031,7506
651,34031,7507
652,34031,7508
653,34031,7509
654,34031,7510
655,34031,7511
656,34031,7512
657,34031,7513
658,34031,7514
659,34031,7522
660,34031,7524
661,34031,7538
662,34031,7543
663,34031,7544
664,34035,7059
665,34035,7060
666,34035,7062
667,34035,7063
668,34035,7069
669,34035,7076
670,34035,7920
671,34035,7921
672,34035,7922
673,34035,7924
674,34035,7931
675,34035,7934
676,34035,7938
677,34035,7939
678,34035,7977
679,34035,7978
680,34035,8502
681,34035,8504
682,34035,8525
683,34035,8528
684,34035,8540
685,34035,8553
686,34035,8558
687,34035,8805
688,34035,8807
689,34035,8812
690,34035,8821
691,34035,8822
692,34035,8823
693,34035,8835
694,34035,8836
695,34035,8844
696,34035,8853
697,34035,8854
698,34035,8869
699,34035,8873
700,34035,8875
701,34035,8876
702,34035,8880
703,34035,8889
704,34035,8901
705,34037,7416
706,34037,7418
707,34037,7419
708,34037,7421
709,34037,7422
710,34037,7428
711,34037,7439
712,34037,7460
713,34037,7461
714,34037,7462
715,34037,7821
716,34037,7822
717,34037,7825
718,34037,7826
719,34037,7827
720,34037,7832
721,34037,7837
722,34037,7839
723,34037,7843
724,34037,7848
725,34037,7849
726,34037,7851
727,34037,7855
728,34037,7857
729,34037,7860
730,34037,7871
731,34037,7874
732,34037,7875
733,34037,7877
734,34037,7879
735,34037,7890
736,34039,7016
737,34039,7023
738,34039,7027
739,34039,7033
740,34039,7036
741,34039,7040
742,34039,7060
743,34039,7061
744,34039,7062
745,34039,7063
746,34039,7065
747,34039,7066
748,34039,7067
749,34039,7069
750,34039,7076
751,34039,7078
752,34039,7080
753,34039,7081
754,34039,7083
755,34039,7088
756,34039,7090
757,34039,7091
758,34039,7092
759,34039,7111
760,34039,7114
761,34039,7201
762,34039,7202
763,34039,7203
764,34039,7204
765,34039,7205
766,34039,7206
767,34039,7207
768,34039,7208
769,34039,7901
770,34039,7902
771,34039,7922
772,34039,7928
773,34039,7974
774,34039,8812
775,34039,8820
776,34039,8854
777,34041,7820
778,34041,7821
779,34041,7823
780,34041,7825
781,34041,7828
782,34041,7832
783,34041,7833
784,34041,7838
785,34041,7840
786,34041,7844
787,34041,7846
788,34041,7860
789,34041,7863
790,34041,7865
791,34041,7874
792,34041,7880
793,34041,7882
794,34041,8802
795,34041,8804
796,34041,8808
797,34041,8827
798,34041,8848
799,34041,8865
800,34041,8886
801,36005,10451
802,36005,10452
803,36005,10453
804,36005,10454
805,36005,10455
806,36005,10456
807,36005,10457
808,36005,10458
809,36005,10459
810,36005,10460
811,36005,10461
812,36005,10462
813,36005,10463
814,36005,10464
815,36005,10465
816,36005,10466
817,36005,10467
818,36005,10468
819,36005,10469
820,36005,10470
821,36005,10471
822,36005,10472
823,36005,10473
824,36005,10474
825,36005,10475
826,36005,10550
827,36005,10704
828,36005,10705
829,36005,10803
830,36027,10512
831,36027,12501
832,36027,12504
833,36027,12506
834,36027,12507
835,36027,12508
836,36027,12510
837,36027,12511
838,36027,12512
839,36027,12514
840,36027,12522
841,36027,12524
842,36027,12527
843,36027,12531
844,36027,12533
845,36027,12537
846,36027,12538
847,36027,12540
848,36027,12545
849,36027,12546
850,36027,12564
851,36027,12567
852,36027,12569
853,36027,12570
854,36027,12571
855,36027,12572
856,36027,12574
857,36027,12578
858,36027,12580
859,36027,12581
860,36027,12582
861,36027,12583
862,36027,12585
863,36027,12590
864,36027,12592
865,36027,12594
866,36027,12601
867,36027,12602
868,36027,12603
869,36027,12604
870,36047,11201
871,36047,11202
872,36047,11203
873,36047,11204
874,36047,11205
875,36047,11206
876,36047,11207
877,36047,11208
878,36047,11209
879,36047,11210
880,36047,11211
881,36047,11212
882,36047,11213
883,36047,11214
884,36047,11215
885,36047,11216
886,36047,11217
887,36047,11218
888,36047,11219
889,36047,11220
890,36047,11221
891,36047,11222
892,36047,11223
893,36047,11224
894,36047,11225
895,36047,11226
896,36047,11228
897,36047,11229
898,36047,11230
899,36047,11231
900,36047,11232
901,36047,11233
902,36047,11234
903,36047,11235
904,36047,11236
905,36047,11237
906,36047,11238
907,36047,11239
908,36047,11241
909,36047,11242
910,36047,11243
911,36047,11245
912,36047,11247
913,36047,11249
914,36047,11251
915,36047,11252
916,36047,11256
917,36047,11414
918,36047,11416
919,36047,11417
920,36047,11421
921,36059,11001
922,36059,11002
923,36059,11003
924,36059,11004
925,36059,11005
