Interview start time,Birth year,Race: White,Race: Black or African American,Race: Hispanic or Latino American,Race: Asian,Race: Native American,Gender: Male/Man,Gender: Female/Woman,Gender: TransMale/TransMan,Gender: TransFemale/TransWoman,Gender: Genderqueer/Gender nonconforming,Gender: Something Else,Reason for filing bankruptcy: I lost my job,Reason for filing bankruptcy: My hours or pay was cut at my job,Reason for filing bankruptcy: Someone in my family experienced a loss of income,Reason for filing bankruptcy: I got sick or injured and could not work,Reason for filing bankruptcy: I received medical bills I cannot pay,Reason for filing bankruptcy: I spent money irresponsibly,Reason for filing bankruptcy: I got behind on other bills (e.g. utilities),Reason for filing bankruptcy: My wages are being garnished,Reason for filing bankruptcy: I'm going through a separation or divorce,Reason for filing bankruptcy: I'm being evicted or my house is being foreclosed on,Reason for filing bankruptcy: My car is being repossessed,Reason for filing bankruptcy: Other (please specify),Other reason for filing bankruptcy,Most important reason,This reason is related to COVID-19,"Option tried: Cut back on basic necessities (e.g. groceries, rent, utilities)",Option tried: Stopped paying bills,Option tried: Sold or pawned things I own,Option tried: Borrowed money from family and friends,Option tried: Didn't get medical care I needed,Option tried: Looked for another job or additional income,Option tried: Debt counseling or debt modification programs,Option tried: Negotiated with creditors,"Option tried: Talked to a bankruptcy lawyer, but could not afford their fee",What user would have done instead of Upsolve,State,Zip
2020-03-23,1979,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I received medical bills I cannot pay,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,TN,37921
2020-03-23,1976,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I received medical bills I cannot pay,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,I would not be able to afford filing for bankruptcy,OK,73018
2020-03-23,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,My hours or pay was cut at my job,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,CA,95327
2020-03-23,1989,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,I'm going through a separation or divorce,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,CA,95377
2020-03-23,1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,I lost my job,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,WI,53223
2020-03-24,1969,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I lost my job,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,CA,91342
2020-03-24,1959,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I lost my job,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,MN,55014
2020-03-24,1994,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I received medical bills I cannot pay,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,I would not be able to afford filing for bankruptcy,FL,33917
2020-03-24,1992,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I spent money irresponsibly,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,IL,61801
2020-03-25,1992,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,My hours or pay was cut at my job,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,I would not be able to afford filing for bankruptcy,IN,46327
2020-03-25,1968,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I got sick or injured and could not work,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,CA,94107
2020-03-25,1976,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,My wages are being garnished,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,I would not be able to afford filing for bankruptcy,KY,42728
2020-03-25,1954,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Bills from judgments and past unemployment,Bills from judgments and past unemployment,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,I would not be able to afford filing for bankruptcy,FL,33917
2020-03-26,1991,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I lost my job,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,CO,80112
2020-03-26,1986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Lawsuit after car wreck,My wages are being garnished,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,KY,42240
2020-03-27,1942,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"To ward off cancer 12 years ago, I had at least $9000 worth of dental work done and put it on credit cards",I spent money irresponsibly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,OR,97005
2020-03-28,1997,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,I went to school with bills and couldn’t afford to pay while in school.,I went to school with bills and couldn’t afford to pay while in school.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,CO,80303
2020-03-28,1989,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,I lost my job,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,I would not be able to afford filing for bankruptcy,MA,02301
2020-03-28,1995,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,My wages are being garnished,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,I would not be able to afford filing for bankruptcy,MO,63628
2020-03-28,1965,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I spent money irresponsibly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,WI,53711
2020-03-28,1989,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,On unpaid leave from work,On unpaid leave from work,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,I would not be able to afford filing for bankruptcy,PA,15084
2020-03-28,1963,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I spent money irresponsibly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,I would not be able to afford filing for bankruptcy,CT,06457
2020-03-28,1954,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Car has been repossessed, Medical Bills exceed 15000, Senior citizen with only SS benefits low income.",My wages are being garnished,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,OH,43623
2020-03-28,1979,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I got sick or injured and could not work,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,SC,29936
2020-03-28,1995,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I could not get a small business loan and resorted to credit cards in order to fund entrepreneurial aspirations which ended up quickly sinking me into more debt than I could manage because my hours at my retail job were also cut forcing me to seek employment elsewhere.,I could not get a small business loan and resorted to credit cards in order to fund entrepreneurial aspirations which ended up quickly sinking me into more debt than I could manage because my hours at my retail job were also cut forcing me to seek employment elsewhere.,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,I would not be able to afford filing for bankruptcy,OH,44875
2020-03-29,1987,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I got sick or injured and could not work,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,I would not be able to afford filing for bankruptcy,MN,55104
2020-03-29,1986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I spent money irresponsibly,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,PA,15211
2020-03-29,1991,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I received medical bills I cannot pay,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,TX,78577
2020-03-29,1983,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,I'm going through a separation or divorce,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,I would not be able to afford filing for bankruptcy,FL,32837
2020-03-29,1950,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I spent money irresponsibly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,MN,55424
2020-03-29,1992,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,I got behind on other bills (e.g. utilities),TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,GA,30349
2020-03-29,1970,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I am having rare health issues going for a very long time.,I am having rare health issues going for a very long time.,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,I would not be able to afford filing for bankruptcy,CT,06106
2020-03-29,1983,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,My wages are being garnished,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,KY,40391
2020-03-29,1994,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I became pregnant and stopped working a few months before delivery and now  a full time student and stay at home mom. My husband lost his income due to coronavirus shut downs.,Someone in my family experienced a loss of income,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,WA,98443
2020-03-29,1970,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,I got behind on other bills (e.g. utilities),TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,NV,89015
2020-03-29,1993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"My car broke down, maybe permanently and I have had trouble getting to work. I need new transportation.",My wages are being garnished,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,FL,33936
2020-03-29,1977,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Debt higher than income ratio,I got behind on other bills (e.g. utilities),FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,AK,99507
2020-03-29,1990,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I received medical bills I cannot pay,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,I would not be able to afford filing for bankruptcy,MI,49089
2020-03-29,1967,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I spent money irresponsibly,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,AZ,85704
2020-03-30,1995,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,My hours or pay was cut at my job,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,I would delay my bankruptcy filing until I could afford to pay for a bankruptcy lawyer,OH,43209
2020-03-30,1978,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I spent money irresponsibly,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,I would not be able to afford filing for bankruptcy,TX,76102
